Vehicle_ID,Timestamp,Engine_RPM,Engine_Temperature,Oil_Temperature,Oil_Pressure,Coolant_Temperature,Battery_Voltage,Vehicle_Speed,Fuel_Consumption,Engine_Vibration,Brake_Temperature
CAR-001,01-01-2026 00:00,3419,86.67,102.25,2.87,87.09,12.43,88.88,8.82,1.89,41.91
CAR-001,01-01-2026 01:00,1183,88.28,95.16,2.54,87.98,13.63,65.39,6.54,1.88,88.57
CAR-001,01-01-2026 02:00,826,96.38,84.79,3.13,89.17,12.67,91.62,5.72,1.57,61.54
CAR-001,01-01-2026 03:00,2208,94.06,104.21,3.59,93.04,14.34,45.42,8.86,2.24,77.11
CAR-001,01-01-2026 04:00,2281,93.66,101.14,2.57,88.42,12.84,9.58,6.63,1.15,56.68
CAR-001,01-01-2026 05:00,3403,97.51,84.88,3.03,95.05,13.74,82.03,5.5,1.95,72.05
CAR-001,01-01-2026 06:00,1802,87.45,91.38,3.98,94.6,13.43,82.15,10.9,2.16,53.74
CAR-001,01-01-2026 07:00,931,97.08,92.03,2.6,98.7,13.45,86.15,6.49,1.75,93.08
CAR-001,01-01-2026 08:00,3433,91.88,87.95,2.87,93.42,12.78,70.15,11.28,1.6,53.16
CAR-001,01-01-2026 09:00,1366,92.64,82.73,2.57,86.64,13.58,95.05,7.96,1.1,62.9
CAR-001,01-01-2026 10:00,2717,92.94,109.13,3.79,85.17,13.79,81.81,8.76,1.4,78.46
CAR-001,01-01-2026 11:00,1256,89.4,84.74,2.5,95.83,13.78,116.63,10.33,1.76,46.38
CAR-001,01-01-2026 12:00,3361,89.48,99.17,3.41,87.29,13.88,64.73,10.45,1.8,40.03
CAR-001,01-01-2026 13:00,2127,92.33,83.36,3.04,99.78,13.97,28.73,6.69,1.85,44.73
CAR-001,01-01-2026 14:00,3797,92.29,82.08,3.64,96.49,12.48,57.03,8.85,1.4,92.35
CAR-001,01-01-2026 15:00,2533,99.47,107.87,3.63,95.35,13.77,47.88,9.7,1.56,93.98
CAR-001,01-01-2026 16:00,2649,86.82,86.74,3.01,93.82,12.71,26.43,5.5,1.95,53.74
CAR-001,01-01-2026 17:00,928,97.89,82.13,2.86,95.03,12.67,15.88,11.55,1.86,68.36
CAR-001,01-01-2026 18:00,2737,97.11,85.71,2.65,91.47,13.13,56.04,10.1,2.01,99.05
CAR-001,01-01-2026 19:00,1203,85.91,101.85,3.7,86.64,12.62,64.35,5.98,1.28,67.76
CAR-001,01-01-2026 20:00,1108,91.65,105.84,3.33,85.76,14.4,100.32,11.78,2.39,90.92
CAR-001,01-01-2026 21:00,1481,91.1,94.44,3.8,98.54,12.56,0.26,7.73,2.39,87.11
CAR-001,01-01-2026 22:00,1968,91.35,108.72,3.99,93.34,13.78,18.58,7.08,2.45,74.75
CAR-001,01-01-2026 23:00,3020,85.91,89.41,2.58,92.15,14.22,63.74,5.4,1.76,91.08
CAR-001,02-01-2026 00:00,1080,93.93,100.26,2.85,86.8,14.16,29.55,9.16,1.93,65.15
CAR-001,02-01-2026 01:00,3190,93.48,89.49,2.89,95.05,12.89,31.87,5.92,1.97,67.43
CAR-001,02-01-2026 02:00,3879,99.04,80.28,3.43,93.44,12.42,64.52,8.54,1.2,60.94
CAR-001,02-01-2026 03:00,1081,98.19,91.09,2.74,97.51,13.75,73.4,11.91,1.98,40.47
CAR-001,02-01-2026 04:00,3071,89.49,99.9,3.91,87.01,12.45,12.84,8.87,1.41,76.29
CAR-001,02-01-2026 05:00,3739,90.14,100.62,3.78,92.58,12.75,108.98,5.36,1.95,89.76
CAR-001,02-01-2026 06:00,980,85.05,103.13,3.46,88.93,13.83,66.2,7.99,1.01,44.51
CAR-001,02-01-2026 07:00,3630,98.56,96.37,3.75,93.74,12.53,15.29,7.16,2.35,87.77
CAR-001,02-01-2026 08:00,963,98.48,86.3,2.87,86.54,13.92,106.1,7.84,1.93,49.27
CAR-001,02-01-2026 09:00,1769,97.97,109.29,3.72,98.22,12.25,88.39,7.33,2.4,88.13
CAR-001,02-01-2026 10:00,3810,97.16,88,3.68,86.62,14.12,103.03,6.56,2.22,67.62
CAR-001,02-01-2026 11:00,2050,97.31,106.14,2.83,94.9,13.08,33.43,5.49,2.16,61.07
CAR-001,02-01-2026 12:00,2886,91,109.43,3.3,99.09,12.45,116.45,6.25,2.44,55.93
CAR-001,02-01-2026 13:00,1244,93.95,90.37,3.68,91.55,14.37,13.88,11.3,1.29,42.66
CAR-001,02-01-2026 14:00,2586,85.03,107.77,3.31,95.79,13.83,80.48,7.55,1.1,79.85
CAR-001,02-01-2026 15:00,2152,94.35,99.9,2.69,98.5,13.32,80.03,7.28,2.05,73.26
CAR-001,02-01-2026 16:00,1585,91.31,108.21,3.52,98.54,13.55,36.11,8.84,1,57.21
CAR-001,02-01-2026 17:00,2560,96.79,98.2,2.98,91.63,13.69,61.34,10.56,2.44,84.16
CAR-001,02-01-2026 18:00,3498,86.27,95.46,3.45,90.03,14,90.14,9.71,1.34,51.95
CAR-001,02-01-2026 19:00,900,85.69,109.52,3.42,96.53,13.2,106.34,9.03,2.08,63.04
CAR-001,02-01-2026 20:00,2436,88.66,99.68,2.51,96.26,13.89,12.79,7.98,1.26,97.48
CAR-001,02-01-2026 21:00,2921,91.97,96.72,3.88,86.82,12.49,55.76,8.72,1.84,59.04
CAR-001,02-01-2026 22:00,3893,98.37,98.38,3.58,92.57,14.03,65.74,11.28,2.12,68.48
CAR-001,02-01-2026 23:00,1861,96.28,105.2,2.92,96.67,13.27,28.71,8.08,2.07,54.07
CAR-001,03-01-2026 00:00,2175,89.8,96.2,2.71,88.47,13.73,84.77,5.45,1.61,72.56
CAR-001,03-01-2026 01:00,2503,85.93,104.99,3.08,96.55,14.28,2.34,11.16,1.86,68.62
CAR-001,03-01-2026 02:00,2240,89.48,91.7,3.84,97.54,13.38,88.16,10.6,2.35,69.29
CAR-001,03-01-2026 03:00,1917,91.54,80.87,3,95.19,13.09,19.81,8.27,1.19,77.34
CAR-001,03-01-2026 04:00,910,98.6,97.76,3.49,86.26,13.14,104.02,6.27,1.39,59.64
CAR-001,03-01-2026 05:00,2662,89.9,102.84,3.07,96.28,14.03,30.27,5.57,1.03,72.37
CAR-001,03-01-2026 06:00,2233,88.36,82.06,3.94,85.6,12.27,29.67,10.87,1.93,54.31
CAR-001,03-01-2026 07:00,2739,95.04,96.92,2.83,95.49,13.89,20.13,9.25,2.12,46.87
CAR-001,03-01-2026 08:00,1470,99.47,83.24,2.54,89.68,13.69,114.98,7.78,2.07,44.56
CAR-001,03-01-2026 09:00,3628,97.46,87.29,3.55,89.52,13.71,96.66,10.57,1.85,42.46
CAR-001,03-01-2026 10:00,2982,91.43,91.12,3.26,90.12,14.07,98.68,5.74,2.44,78.14
CAR-001,03-01-2026 11:00,2683,95.61,93.06,3.6,99.48,12.79,96.98,8.77,1.73,66.13
CAR-001,03-01-2026 12:00,3794,93.89,89.67,2.87,99.02,12.81,54.1,10.25,1.85,80.09
CAR-001,03-01-2026 13:00,2177,85.43,105.53,2.77,88.18,13.96,40.84,11.16,2.05,56.58
CAR-001,03-01-2026 14:00,841,92.75,85.73,2.86,91.1,13.42,28.84,8.33,2.07,66.89
CAR-001,03-01-2026 15:00,870,86.4,86.65,3.54,89.59,13.48,56.79,8.72,1.64,84.76
